"","BeeSpId","ITD_mm","BeeSize_DryWeight_mg","Abundance"
"152","Osmia brevis",2.0580974025,11.9712086553249,2
"153","Osmia bruneri",2.17741932,13.7181420024759,1
"154","Osmia bucephala",3.59706957714286,42.217861179557,7
"155","Osmia californica",2.83425279142857,24.7672434709634,28
"156","Osmia coloradensis",2.31536251428571,16.0157745078997,21
"157","Osmia densa",2.56802718,19.7286301772599,7
"158","Osmia grindeliae",2.36734691,16.4174726508275,3
"159","Osmia inermis",2.57823126,20.2015594075695,3
"160","Osmia iridis",2.302022825,15.5145863687899,6
"161","Osmia juxta",2.6937952253125,22.2076346055866,29
"162","Osmia kincaidii",2.48057967978018,19.2016350358109,1
"163","Osmia longula",3.3782051125,36.6008676359929,4
"164","Osmia malina",2.35483867,16.4097870278619,1
"165","Osmia marginipennis",3.0400313675,29.2707079837588,1
"166","Osmia montana montana",2.5870967395,20.2232014562451,17
"167","Osmia nigrifrons",2.82215739714286,24.7721421953949,8
"168","Osmia nigriventris",2.89795915,26.5025493500643,1
"169","Osmia nr proxima",2.48057967978018,19.2016350358109,1
"170","Osmia odontogaster gr sp 1",2.48057967978018,19.2016350358109,1
"171","Osmia odontogaster gr sp 2",2.48057967978018,19.2016350358109,1
"172","Osmia paradisica",2.499999965,18.5892562612075,2
"173","Osmia pentstemonis",1.92165895428571,10.3895440049971,8
"174","Osmia phaceliae",1.983870935,11.2236097051833,14
"175","Osmia proxima",2.26530609,14.8702787214635,3
"176","Osmia pusilla",1.84632027666667,9.3551026255219,14
"177","Osmia subaustralis",2.69634624,22.1282848478011,2
"178","Osmia tersula",2.35483867,16.2968345082903,2
"179","Osmia trevoris",2.17137093375,13.6766139919132,18
"180","Osmia tristella",1.65259734125,7.41844620936463,8
"181","Panurginus atriceps",1.103896065,2.96179824615571,1
"182","Panurginus torchioi",1.29870125,4.31084232723459,1
"183","Stelis calliphorina",2.03225803,11.8365823832391,2
"184","Stelis callura",2.16894335,13.7196479418186,1
"185","Stelis carnifex",2.16129029,13.4518310682875,1
"186","Stelis foederalis gr sp B",2.16894335,13.7196479418186,1
"187","Stelis montana",1.95161287,10.5784485431735,5
"188","Stelis monticola",2.53061221,19.0117297725743,1
"189","Stelis permaculata",2.16894335,13.7196479418186,1
"190","Stelis sp F6",2.16894335,13.7196479418186,2
"191","Triepeolus paenepectoralis",2.86516330265427,28.1190439461387,1
